                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                0.71954,                0.39868,                0.93287,                0.83986,                0.83447,                0.86995,                0.50112,                 1.6048,                0.66221,                 1.5958,              0.0003764,              0.0003764,              0.0003764
                     84,                0.72207,                0.40316,                0.94683,                0.79893,                0.90313,                0.88283,                0.50728,                 1.6032,                0.65584,                 1.6097,              0.0003566,              0.0003566,              0.0003566
                     85,                0.72017,                0.40743,                0.94015,                0.81218,                0.88451,                0.88382,                0.51978,                  1.619,                0.64677,                 1.6612,              0.0003368,              0.0003368,              0.0003368
                     86,                0.71416,                0.40149,                0.95298,                0.85579,                0.80933,                0.86945,                0.50547,                 1.6438,                0.68633,                 1.6926,               0.000317,               0.000317,               0.000317
                     87,                0.70153,                0.39899,                0.97804,                0.88059,                0.83809,                0.88231,                0.49453,                 1.6788,                0.70291,                 1.7254,              0.0002972,              0.0002972,              0.0002972
                     88,                 0.6724,                 0.3865,                 0.9614,                0.85386,                0.84091,                0.86967,                 0.4917,                 1.6584,                0.73576,                  1.646,              0.0002774,              0.0002774,              0.0002774
                     89,                0.65696,                0.37827,                0.92054,                0.82084,                0.81818,                0.88227,                0.47954,                 1.6195,                0.73928,                 1.6542,              0.0002576,              0.0002576,              0.0002576
                     90,                0.67325,                0.37087,                0.92846,                0.83522,                0.84091,                0.87787,                0.49933,                 1.6201,                0.68912,                  1.682,              0.0002378,              0.0002378,              0.0002378
                     91,                 0.9757,                0.47448,                 1.0713,                0.87338,                0.84091,                0.88094,                0.50738,                  1.578,                0.66579,                 1.6561,               0.000218,               0.000218,               0.000218
                     92,                0.92494,                0.45067,                 1.0912,                0.90144,                0.84091,                0.90315,                0.49912,                 1.6418,                0.63211,                  1.651,              0.0001982,              0.0001982,              0.0001982
                     93,                 0.9458,                0.44913,                 1.0456,                0.85826,                0.84091,                0.89351,                0.50907,                  1.604,                0.64218,                  1.589,              0.0001784,              0.0001784,              0.0001784
                     94,                0.92755,                0.43815,                 1.0427,                0.84959,                0.84091,                  0.875,                0.49918,                 1.5883,                0.65238,                 1.5724,              0.0001586,              0.0001586,              0.0001586
                     95,                0.92515,                 0.4364,                 1.0609,                0.83548,                0.84091,                0.87218,                0.49864,                  1.591,                0.66188,                 1.5621,              0.0001388,              0.0001388,              0.0001388
                     96,                0.93755,                 0.4329,                 1.0357,                0.83881,                0.84091,                0.90006,                0.51243,                 1.5825,                0.64813,                 1.5626,               0.000119,               0.000119,               0.000119
                     97,                0.91295,                0.42415,                 1.0332,                0.87573,                0.80091,                0.90257,                0.51271,                 1.5831,                0.63928,                 1.5575,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.88622,                0.42635,                 1.0303,                0.86938,                0.84091,                0.89971,                0.51593,                 1.5939,                0.64069,                 1.5597,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.86943,                0.40945,                 1.0343,                0.86947,                0.84091,                0.88228,                0.51748,                 1.5811,                0.63956,                 1.5583,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.89675,                  0.426,                 1.0164,                0.86864,                0.84091,                0.90097,                0.52061,                 1.5802,                0.63696,                 1.5644,               3.98e-05,               3.98e-05,               3.98e-05
